,mean,std,min,max
F0finEnv_max,284.5991,33.17012749573985,154.0234,315.5713
F0finEnv_min,106.59359217391304,40.170741395282285,0.0,149.8716
F0finEnv_range,178.00552782608693,52.711549881225274,62.20274,298.0436
F0finEnv_maxPos,226.65217391304347,151.33815498462442,1.0,499.0
F0finEnv_minPos,224.1304347826087,158.80499887593018,0.0,435.0
F0finEnv_maxameandist,106.02676173913042,26.11648695543656,50.61274,175.3026
F0finEnv_minameandist,71.97876,38.48175657608255,11.59,201.8832
F0finEnv_linregc1,-0.0028944432304347832,0.15934311593185857,-0.3550031,0.5169979
F0finEnv_linregc2,179.2945053478261,50.9621638771476,-6.249877,272.7742
F0finEnv_linregerrA,32.4652237826087,11.554555920264328,6.797557,59.68222
F0finEnv_linregerrQ,1816.0214491304346,1156.4704640992186,75.59743,5480.292
F0finEnv_qregc1,-2.0758175173913068e-05,0.001133891806014639,-0.002126684,0.001909638
F0finEnv_qregc2,0.007463887391304347,0.6403192053015929,-0.9107049,1.543911
F0finEnv_qregc3,178.4347669565217,82.41488431648516,-91.48367,325.9275
F0finEnv_qregerrA,13744.921478260867,5028.022253092344,2404.814,24171.04
F0finEnv_qregerrQ,694431.4217391303,430858.49781437207,22688.0,2004896.0
F0finEnv_centroid,0.49944567826086944,0.04705922858675937,0.4016203,0.6745035
F0finEnv_variance,2322.1587652173916,2174.960990280042,246.0526,11048.75
F0finEnv_stddev,44.854775652173906,18.008553291215872,15.68606,105.113
F0finEnv_skewness,0.595425660869565,0.4338988947914309,-0.2921722,1.307273
F0finEnv_kurtosis,3.1587090000000004,1.248131641035075,1.386782,7.421486
F0finEnv_quartile1,146.85617913043478,40.44846050998749,0.0,180.1766
F0finEnv_quartile2,173.87220956521742,25.775018303753573,91.82062,204.8085
F0finEnv_quartile3,206.8031304347826,27.446594347758253,119.5706,264.3503
F0finEnv_upleveltime25,0.6465217391304349,0.1761994916836176,0.376,0.996
F0finEnv_downleveltime25,0.35347826086956524,0.1761994916836176,0.004,0.624
F0finEnv_upleveltime50,0.318608695652174,0.19912119176988097,0.052,0.996
F0finEnv_downleveltime50,0.6813913043478262,0.19912119176988097,0.004,0.948
F0finEnv_upleveltime75,0.10956521739130433,0.06572658662766019,0.024,0.288
F0finEnv_downleveltime75,0.8904347826086955,0.06572658662766019,0.712,0.976
F0finEnv_upleveltime90,0.05582608695652175,0.039981418609050065,0.022,0.194
F0finEnv_downleveltime90,0.9441739130434783,0.03998141860905005,0.806,0.978
F0finEnv_risetime,0.20353750139130433,0.058793353749546536,0.008016032,0.2865731
F0finEnv_falltime,0.20710987530434782,0.06720182761351923,0.008016032,0.3266533
F0finEnv_leftctime,0.23563820695652174,0.06574192361068894,0.01004016,0.3172691
F0finEnv_rightctime,0.20604156695652173,0.061644656602327555,0.01204819,0.2971888
F0finEnv_duration,500.0,0.0,500.0,500.0
jitterLocal_max,0.6992881739130435,0.1622170337350333,0.578712,1.0
jitterLocal_min,0.00017436104156521738,0.00019073611618864058,0.0,0.000504285
jitterLocal_range,0.6991138217391305,0.16207566713383362,0.5785503,0.9995249
jitterLocal_maxPos,295.69565217391306,152.80779215692345,1.0,490.0
jitterLocal_minPos,236.95652173913044,141.7810342044346,0.0,493.0
jitterLocal_maxameandist,0.5974739086956522,0.1629888796254487,0.4428307,0.9205502
jitterLocal_minameandist,0.10163991260869566,0.03378227774618469,0.04236272,0.2164637
jitterLocal_linregc1,4.5663960000000006e-05,0.00014057371279224684,-0.0002330398,0.0003972316
jitterLocal_linregc2,0.09042111869565216,0.03923147928156874,-0.01688592,0.1624129
jitterLocal_linregerrA,0.08814415347826085,0.01630544734033708,0.04739369,0.1331889
jitterLocal_linregerrQ,0.01335332447826087,0.004081610057835286,0.00601326,0.02618008
jitterLocal_qregc1,-1.358832373913043e-07,9.98780572489325e-07,-1.769961e-06,1.768655e-06
jitterLocal_qregc2,0.00011346971478260869,0.0005104335870711749,-0.001115599,0.0008918403
jitterLocal_qregc3,0.08479323530434782,0.055283759765067705,-0.01263798,0.2108456
jitterLocal_qregerrA,43.21050608695653,8.465099765630612,23.43247,66.40776
jitterLocal_qregerrQ,6.507801652173913,2.08332232978517,3.004804,13.00913
jitterLocal_centroid,0.5181066695652173,0.07013510436121541,0.376785,0.7325668
jitterLocal_variance,0.013790551695652173,0.004334219878037269,0.007188084,0.02715803
jitterLocal_stddev,0.1162232908695652,0.01719151422423625,0.08478256,0.1647969
jitterLocal_skewness,1.755900186956522,0.5259789215796271,0.6995973,2.944342
jitterLocal_kurtosis,7.188741173913043,3.486942330619565,2.73819,15.29492
jitterLocal_quartile1,0.01606445830434783,0.01565512762566598,0.0,0.0808126
jitterLocal_quartile2,0.0542845267826087,0.03677232006534596,0.005460936,0.1823171
jitterLocal_quartile3,0.15673731913043476,0.05854909355163548,0.03753846,0.3417524
jitterLocal_upleveltime25,0.23391304347826086,0.10518464848389161,0.084,0.558
jitterLocal_downleveltime25,0.7660869565217392,0.10518464848389163,0.442,0.916
jitterLocal_upleveltime50,0.06495652173913044,0.05731847097249285,0.002,0.266
jitterLocal_downleveltime50,0.9350434782608695,0.057318470972492847,0.734,0.998
jitterLocal_upleveltime75,0.012086956521739132,0.01632040842703688,0.002,0.076
jitterLocal_downleveltime75,0.9879130434782609,0.016320408427036876,0.924,0.998
jitterLocal_upleveltime90,0.007130434782608696,0.007741883420284797,0.002,0.034
jitterLocal_downleveltime90,0.9928695652173916,0.007741883420284804,0.966,0.998
jitterLocal_risetime,0.37971595217391296,0.04456535280523802,0.250501,0.4288577
