,mean,std,min,max
F0finEnv_max,94.83851592592592,52.32099990563285,0.0,138.6021
F0finEnv_min,67.06493666666665,45.93547104242839,0.0,114.4566
F0finEnv_range,27.77358133333334,27.065557298946818,0.0,111.8119
F0finEnv_maxPos,194.0,178.84845325238132,0.0,464.0
F0finEnv_minPos,100.07407407407408,141.35713797272658,0.0,432.0
F0finEnv_maxameandist,13.489226481481479,15.783704652299392,0.0,74.32555
F0finEnv_minameandist,14.284352962962963,14.29694863514678,0.0,64.21657
F0finEnv_linregc1,0.021815980440740738,0.06636811784324817,-0.07030431,0.2493742
F0finEnv_linregc2,75.9062048888889,53.39382753407921,-27.49226,133.6896
F0finEnv_linregerrA,5.564192207407406,4.963261428212997,0.0,18.5623
F0finEnv_linregerrQ,76.96367155555554,114.80285384371578,0.0,477.136
F0finEnv_qregc1,-1.6566123888888887e-05,0.0003117645322786178,-0.0008778819,0.0008991389
F0finEnv_qregc2,0.030082469518518517,0.17271320890693131,-0.2397928,0.6874373
F0finEnv_qregc3,75.22008544444444,53.72925353982306,-34.36153,136.329
F0finEnv_qregerrA,2115.129996296296,1593.3415812198684,0.0,5588.396
F0finEnv_qregerrQ,22184.996129629635,24835.157235497827,0.0,104772.6
F0finEnv_centroid,0.4091104925925926,0.23452813760928384,0.0,0.8524625
F0finEnv_variance,175.24511562962968,404.0425608860458,0.0,1772.704
F0finEnv_stddev,9.031630481481482,9.862941953940844,0.0,42.10349
F0finEnv_skewness,-0.17984352185185185,0.94822554498478,-2.375279,2.017753
F0finEnv_kurtosis,2.42555262962963,2.5435643953676825,0.0,11.15905
F0finEnv_quartile1,73.6667722222222,49.239934928612044,0.0,114.5503
F0finEnv_quartile2,81.58999555555555,49.70948099624993,0.0,116.7467
F0finEnv_quartile3,88.85105444444444,49.892029411499756,0.0,130.5405
F0finEnv_upleveltime25,0.5205185185185185,0.3579998249215698,0.0,0.97
F0finEnv_downleveltime25,0.47948148148148156,0.3579998249215698,0.03,1.0
F0finEnv_upleveltime50,0.4291851851851852,0.31480995940616385,0.0,0.968
F0finEnv_downleveltime50,0.5708148148148148,0.31480995940616385,0.032,1.0
F0finEnv_upleveltime75,0.2697777777777778,0.2191362999338949,0.0,0.696
F0finEnv_downleveltime75,0.7302222222222222,0.2191362999338949,0.304,1.0
F0finEnv_upleveltime90,0.14177777777777778,0.1432827579227477,0.0,0.562
F0finEnv_downleveltime90,0.8582222222222221,0.1432827579227477,0.438,1.0
F0finEnv_risetime,0.033325911407407406,0.02774691560760289,0.0,0.09819639
F0finEnv_falltime,0.03006012148148148,0.024955889538185456,0.0,0.0741483
F0finEnv_leftctime,0.033987802962962964,0.02775114236710568,0.0,0.09638554
F0finEnv_rightctime,0.04023501333333333,0.030709316201943816,0.0,0.1004016
F0finEnv_duration,500.0,0.0,500.0,500.0
jitterLocal_max,0.4562314111111111,0.2539924552157638,0.0,0.6494594
jitterLocal_min,0.0002787944674074074,0.00026660509018216805,0.0,0.0008678712
jitterLocal_range,0.4559526222222223,0.2538217239578073,0.0,0.6488218
jitterLocal_maxPos,214.37037037037038,180.50104371063006,0.0,498.0
jitterLocal_minPos,146.44444444444446,147.0858810704019,0.0,437.0
jitterLocal_maxameandist,0.3685387481481481,0.2053678238351886,0.0,0.5314972
jitterLocal_minameandist,0.08741387111111111,0.05205698332188372,0.0,0.1643215
jitterLocal_linregc1,3.683341544444444e-05,0.0001336964398007481,-0.000219943,0.0003763835
jitterLocal_linregc2,0.07850273129629629,0.061397063795501805,-0.04056273,0.1645455
jitterLocal_linregerrA,0.06830637,0.038801398631344165,0.0,0.1117333
jitterLocal_linregerrQ,0.01009340737037037,0.0059953158756306585,0.0,0.01982697
jitterLocal_qregc1,1.7178192814814815e-07,7.07907088249173e-07,-1.09948e-06,1.798476e-06
jitterLocal_qregc2,-4.888579037037037e-05,0.0003537732560823791,-0.0007750773,0.0005249814
jitterLocal_qregc3,0.08561742703703705,0.0687755753182978,-0.02008689,0.2019368
jitterLocal_qregerrA,33.63315111111111,19.261782651993784,0.0,52.98375
jitterLocal_qregerrQ,4.957802148148149,2.9464863142435584,0.0,9.351948
jitterLocal_centroid,0.4113086851851851,0.23860362978640748,0.0,0.8547136
jitterLocal_variance,0.010480267407407408,0.006123339458516703,0.0,0.02089225
jitterLocal_stddev,0.08990520444444441,0.04989517437615735,0.0,0.1445415
jitterLocal_skewness,1.1793092222222223,0.7595897643462824,0.0,3.388005
jitterLocal_kurtosis,4.2376536666666675,3.1287593323636473,0.0,15.50666
jitterLocal_quartile1,0.019077751111111114,0.014048253721828625,0.0,0.04369837
jitterLocal_quartile2,0.05754120259259259,0.03897604227851293,0.0,0.1314431
jitterLocal_quartile3,0.13290525703703707,0.08220143888722006,0.0,0.2579046
jitterLocal_upleveltime25,0.23148148148148148,0.13604025715556248,0.0,0.414
jitterLocal_downleveltime25,0.7685185185185185,0.13604025715556248,0.586,1.0
jitterLocal_upleveltime50,0.06822222222222223,0.04526956299030656,0.0,0.158
jitterLocal_downleveltime50,0.9317777777777778,0.04526956299030655,0.842,1.0
jitterLocal_upleveltime75,0.01881481481481482,0.015071718387652257,0.0,0.05
jitterLocal_downleveltime75,0.981185185185185,0.015071718387652271,0.95,1.0
jitterLocal_upleveltime90,0.007481481481481482,0.006290226670554216,0.0,0.024
jitterLocal_downleveltime90,0.9925185185185185,0.00629022667055422,0.976,1.0
jitterLocal_risetime,0.1956505588888889,0.11779952169271979,0.0,0.3026052
jitterLocal_falltime,0.1968381255555556,0.11917379764641582,0.0,0.3126253
jitterLocal_leftctime,0.3004610992592593,0.179117180295448,0.0,0.4497992
jitterLocal_rightctime,0.2825375562962963,0.168283315049207,0.0,0.439759
jitterLocal_duration,500.0,0.0,500.0,500.0
jitterDDP_max,0.411409637037037,0.23230606447680371,0.0,0.627219
jitterDDP_min,0.00011805481002222224,0.00013941740131334106,0.0,0.000446832
jitterDDP_range,0.4112915814814815,0.2322377359233753,0.0,0.6271486
jitterDDP_maxPos,175.03703703703704,163.6354958393059,0.0,465.0
jitterDDP_minPos,160.92592592592592,147.82315992322248,0.0,453.0
jitterDDP_maxameandist,0.3451269666666667,0.19608975436973516,0.0,0.5323907
jitterDDP_minameandist,0.06616462555555556,0.039342914740963436,0.0,0.1235441
jitterDDP_linregc1,2.8239308814814817e-05,0.00011534277556609166,-0.0001567983,0.0002935025
jitterDDP_linregc2,0.05923697657407408,0.048124029687635156,-0.03980339,0.1292908
jitterDDP_linregerrA,0.05396873555555556,0.030702825599676468,0.0,0.09016933
jitterDDP_linregerrQ,0.006715976481481482,0.004119138633606492,0.0,0.01340363
jitterDDP_qregc1,1.2685570481481482e-07,5.700012484285376e-07,-1.126299e-06,1.317612e-06
jitterDDP_qregc2,-3.506168944444445e-05,0.00029157399768435537,-0.0004357767,0.0006630767
jitterDDP_qregc3,0.0644909585185185,0.05408657312512027,-0.0300162,0.1477619
jitterDDP_qregerrA,26.635238518518516,15.278941821324816,0.0,44.0888
jitterDDP_qregerrQ,3.3008782962962964,2.0288555103147687,0.0,6.52142
jitterDDP_centroid,0.4098615259259259,0.23894558483144812,0.0,0.8648652
jitterDDP_variance,0.006999489851851852,0.004248945394344611,0.0,0.01424467
jitterDDP_stddev,0.07330627259259259,0.04108779200190729,0.0,0.1193511
jitterDDP_skewness,1.3847824074074073,0.8467586972031943,0.0,3.184521
jitterDDP_kurtosis,5.192972962962963,3.462386548071714,0.0,13.91333
jitterDDP_quartile1,0.01409771851851852,0.010201524157623817,0.0,0.03367424
jitterDDP_quartile2,0.03901546037037037,0.02649970776710123,0.0,0.08309609
